mun_id;ano;Valor;Sexo;faixa_id
3522406;2021;3.170;Mulheres;00 a 04
3522505;2021;9.396;Mulheres;00 a 04
3522604;2021;1.775;Mulheres;00 a 04
3522653;2021;166;Mulheres;00 a 04
3522703;2021;1.058;Mulheres;00 a 04
3522802;2021;483;Mulheres;00 a 04
3522901;2021;419;Mulheres;00 a 04
3523008;2021;138;Mulheres;00 a 04
3523107;2021;13.887;Mulheres;00 a 04
3523206;2021;1.605;Mulheres;00 a 04
3523305;2021;576;Mulheres;00 a 04
3523404;2021;3.380;Mulheres;00 a 04
3523503;2021;793;Mulheres;00 a 04
3523602;2021;470;Mulheres;00 a 04
3523701;2021;191;Mulheres;00 a 04
3523800;2021;197;Mulheres;00 a 04
3523909;2021;5.390;Mulheres;00 a 04
3524006;2021;2.070;Mulheres;00 a 04
3524105;2021;1.104;Mulheres;00 a 04
3524204;2021;196;Mulheres;00 a 04
3524303;2021;1.904;Mulheres;00 a 04
3524402;2021;7.217;Mulheres;00 a 04
3524501;2021;191;Mulheres;00 a 04
3524600;2021;561;Mulheres;00 a 04
3524709;2021;1.761;Mulheres;00 a 04
3524808;2021;1.094;Mulheres;00 a 04
3524907;2021;195;Mulheres;00 a 04
3525003;2021;4.105;Mulheres;00 a 04
3525102;2021;1.327;Mulheres;00 a 04
3525201;2021;1.034;Mulheres;00 a 04
3525300;2021;4.151;Mulheres;00 a 04
3525409;2021;93;Mulheres;00 a 04
3525508;2021;343;Mulheres;00 a 04
3525607;2021;134;Mulheres;00 a 04
3525706;2021;1.008;Mulheres;00 a 04
3525805;2021;155;Mulheres;00 a 04
3525854;2021;93;Mulheres;00 a 04
3525904;2021;11.462;Mulheres;00 a 04
3526001;2021;530;Mulheres;00 a 04
3526100;2021;653;Mulheres;00 a 04
3526209;2021;1.111;Mulheres;00 a 04
3526308;2021;129;Mulheres;00 a 04
3526407;2021;856;Mulheres;00 a 04
3526506;2021;117;Mulheres;00 a 04
3526605;2021;254;Mulheres;00 a 04
3526704;2021;3.148;Mulheres;00 a 04
3526803;2021;1.890;Mulheres;00 a 04
3526902;2021;8.032;Mulheres;00 a 04
3527009;2021;208;Mulheres;00 a 04
3527108;2021;1.993;Mulheres;00 a 04
3527207;2021;2.752;Mulheres;00 a 04
3527256;2021;46;Mulheres;00 a 04
3527306;2021;1.644;Mulheres;00 a 04
3527405;2021;548;Mulheres;00 a 04
3527504;2021;67;Mulheres;00 a 04
3527603;2021;469;Mulheres;00 a 04
3527702;2021;184;Mulheres;00 a 04
3527801;2021;143;Mulheres;00 a 04
3527900;2021;75;Mulheres;00 a 04
3528007;2021;533;Mulheres;00 a 04
3528106;2021;167;Mulheres;00 a 04
3528205;2021;75;Mulheres;00 a 04
3528304;2021;73;Mulheres;00 a 04
3528403;2021;1.538;Mulheres;00 a 04
3528502;2021;3.188;Mulheres;00 a 04
3528601;2021;264;Mulheres;00 a 04
3528700;2021;106;Mulheres;00 a 04
3528809;2021;393;Mulheres;00 a 04
3528858;2021;75;Mulheres;00 a 04
3528908;2021;112;Mulheres;00 a 04
3529005;2021;6.286;Mulheres;00 a 04
3529104;2021;55;Mulheres;00 a 04
3529203;2021;713;Mulheres;00 a 04
3529302;2021;2.137;Mulheres;00 a 04
3529401;2021;14.221;Mulheres;00 a 04
3529500;2021;114;Mulheres;00 a 04
3529609;2021;85;Mulheres;00 a 04
3529658;2021;56;Mulheres;00 a 04
3529708;2021;664;Mulheres;00 a 04
3529807;2021;387;Mulheres;00 a 04
3529906;2021;779;Mulheres;00 a 04
3530003;2021;69;Mulheres;00 a 04
3530102;2021;743;Mulheres;00 a 04
3530201;2021;486;Mulheres;00 a 04
3530300;2021;1.475;Mulheres;00 a 04
3530409;2021;134;Mulheres;00 a 04
3530508;2021;1.750;Mulheres;00 a 04
3530607;2021;14.175;Mulheres;00 a 04
3530706;2021;4.264;Mulheres;00 a 04
3530805;2021;2.398;Mulheres;00 a 04
3530904;2021;107;Mulheres;00 a 04
3531001;2021;52;Mulheres;00 a 04
3531100;2021;1.936;Mulheres;00 a 04
3531209;2021;197;Mulheres;00 a 04
3531308;2021;1.201;Mulheres;00 a 04
3531407;2021;576;Mulheres;00 a 04
3531506;2021;472;Mulheres;00 a 04
3531605;2021;89;Mulheres;00 a 04
3531704;2021;121;Mulheres;00 a 04
3531803;2021;2.109;Mulheres;00 a 04
3531902;2021;1.107;Mulheres;00 a 04
3532009;2021;428;Mulheres;00 a 04
3532058;2021;131;Mulheres;00 a 04
3532108;2021;91;Mulheres;00 a 04
3532157;2021;107;Mulheres;00 a 04
3532207;2021;178;Mulheres;00 a 04
3532306;2021;207;Mulheres;00 a 04
3532405;2021;617;Mulheres;00 a 04
3532504;2021;169;Mulheres;00 a 04
3532603;2021;222;Mulheres;00 a 04
3532702;2021;149;Mulheres;00 a 04
3532801;2021;172;Mulheres;00 a 04
3532827;2021;391;Mulheres;00 a 04
3532843;2021;38;Mulheres;00 a 04
3532868;2021;34;Mulheres;00 a 04
3532900;2021;336;Mulheres;00 a 04
3533007;2021;590;Mulheres;00 a 04
3533106;2021;52;Mulheres;00 a 04
3533205;2021;121;Mulheres;00 a 04
3533254;2021;185;Mulheres;00 a 04
3533304;2021;116;Mulheres;00 a 04
3533403;2021;1.604;Mulheres;00 a 04
3533502;2021;1.078;Mulheres;00 a 04
3533601;2021;195;Mulheres;00 a 04
3533700;2021;119;Mulheres;00 a 04
3533809;2021;71;Mulheres;00 a 04
3533908;2021;1.406;Mulheres;00 a 04
3534005;2021;122;Mulheres;00 a 04
3534104;2021;170;Mulheres;00 a 04
3534203;2021;217;Mulheres;00 a 04
3534302;2021;1.236;Mulheres;00 a 04
3534401;2021;22.169;Mulheres;00 a 04
3534500;2021;62;Mulheres;00 a 04
3534609;2021;716;Mulheres;00 a 04
3534708;2021;3.360;Mulheres;00 a 04
3534757;2021;298;Mulheres;00 a 04
3534807;2021;267;Mulheres;00 a 04
3534906;2021;257;Mulheres;00 a 04
3535002;2021;307;Mulheres;00 a 04
3535101;2021;407;Mulheres;00 a 04
3535200;2021;198;Mulheres;00 a 04
3535309;2021;617;Mulheres;00 a 04
3535408;2021;469;Mulheres;00 a 04
3535507;2021;1.310;Mulheres;00 a 04
3535606;2021;627;Mulheres;00 a 04
3535705;2021;169;Mulheres;00 a 04
3535804;2021;664;Mulheres;00 a 04
3535903;2021;92;Mulheres;00 a 04
3536000;2021;240;Mulheres;00 a 04
3536109;2021;243;Mulheres;00 a 04
3536208;2021;663;Mulheres;00 a 04
3536257;2021;47;Mulheres;00 a 04
3536307;2021;497;Mulheres;00 a 04
3536406;2021;236;Mulheres;00 a 04
3536505;2021;3.533;Mulheres;00 a 04
3536570;2021;44;Mulheres;00 a 04
3536604;2021;246;Mulheres;00 a 04
3536703;2021;1.377;Mulheres;00 a 04
3536802;2021;169;Mulheres;00 a 04
3536901;2021;48;Mulheres;00 a 04
3537008;2021;517;Mulheres;00 a 04
3537107;2021;1.320;Mulheres;00 a 04
3537156;2021;73;Mulheres;00 a 04
3537206;2021;380;Mulheres;00 a 04
3537305;2021;1.644;Mulheres;00 a 04
3537404;2021;726;Mulheres;00 a 04
3537503;2021;258;Mulheres;00 a 04
3537602;2021;2.694;Mulheres;00 a 04
3537701;2021;170;Mulheres;00 a 04
3537800;2021;1.624;Mulheres;00 a 04
3537909;2021;990;Mulheres;00 a 04
3538006;2021;5.110;Mulheres;00 a 04
3538105;2021;422;Mulheres;00 a 04
3538204;2021;403;Mulheres;00 a 04
3538303;2021;91;Mulheres;00 a 04
3538501;2021;370;Mulheres;00 a 04
3538600;2021;771;Mulheres;00 a 04
3538709;2021;10.722;Mulheres;00 a 04
3538808;2021;816;Mulheres;00 a 04
3538907;2021;562;Mulheres;00 a 04
3539004;2021;261;Mulheres;00 a 04
3539103;2021;674;Mulheres;00 a 04
3539202;2021;844;Mulheres;00 a 04
3539301;2021;1.921;Mulheres;00 a 04
3539400;2021;369;Mulheres;00 a 04
3539509;2021;1.289;Mulheres;00 a 04
3539608;2021;186;Mulheres;00 a 04
3539707;2021;120;Mulheres;00 a 04
3539806;2021;4.062;Mulheres;00 a 04
3539905;2021;149;Mulheres;00 a 04
3540002;2021;541;Mulheres;00 a 04
3540101;2021;74;Mulheres;00 a 04
3540200;2021;1.686;Mulheres;00 a 04
3540259;2021;136;Mulheres;00 a 04
3540309;2021;71;Mulheres;00 a 04
3540408;2021;92;Mulheres;00 a 04
3540507;2021;263;Mulheres;00 a 04
3540606;2021;1.498;Mulheres;00 a 04
3540705;2021;1.508;Mulheres;00 a 04
3540754;2021;559;Mulheres;00 a 04
3540804;2021;427;Mulheres;00 a 04
3540853;2021;49;Mulheres;00 a 04
3540903;2021;671;Mulheres;00 a 04
3541000;2021;10.719;Mulheres;00 a 04
3541059;2021;173;Mulheres;00 a 04
3541109;2021;103;Mulheres;00 a 04
3541208;2021;311;Mulheres;00 a 04
3541307;2021;1.245;Mulheres;00 a 04
3541406;2021;5.967;Mulheres;00 a 04
3541505;2021;904;Mulheres;00 a 04
3541604;2021;1.263;Mulheres;00 a 04
3541653;2021;102;Mulheres;00 a 04
3541703;2021;452;Mulheres;00 a 04
3541802;2021;106;Mulheres;00 a 04
3541901;2021;391;Mulheres;00 a 04
3542008;2021;182;Mulheres;00 a 04
3542107;2021;292;Mulheres;00 a 04
3542206;2021;802;Mulheres;00 a 04
3542305;2021;108;Mulheres;00 a 04
3542404;2021;513;Mulheres;00 a 04
3542503;2021;129;Mulheres;00 a 04
3542602;2021;1.751;Mulheres;00 a 04
3542701;2021;295;Mulheres;00 a 04
3542800;2021;107;Mulheres;00 a 04
3542909;2021;440;Mulheres;00 a 04
3543006;2021;617;Mulheres;00 a 04
3543105;2021;156;Mulheres;00 a 04
3543204;2021;112;Mulheres;00 a 04
3543238;2021;50;Mulheres;00 a 04
3543253;2021;244;Mulheres;00 a 04
3543303;2021;3.295;Mulheres;00 a 04
3543402;2021;19.000;Mulheres;00 a 04
3543501;2021;182;Mulheres;00 a 04
3543600;2021;87;Mulheres;00 a 04
3543709;2021;314;Mulheres;00 a 04
3543808;2021;237;Mulheres;00 a 04
3543907;2021;5.412;Mulheres;00 a 04
3544004;2021;1.076;Mulheres;00 a 04
3544103;2021;1.592;Mulheres;00 a 04
3544202;2021;340;Mulheres;00 a 04
3544251;2021;514;Mulheres;00 a 04
3544301;2021;351;Mulheres;00 a 04
3544400;2021;86;Mulheres;00 a 04
3544509;2021;73;Mulheres;00 a 04
3544608;2021;166;Mulheres;00 a 04
3544707;2021;64;Mulheres;00 a 04
3544806;2021;171;Mulheres;00 a 04
3544905;2021;308;Mulheres;00 a 04
3545001;2021;635;Mulheres;00 a 04
3545100;2021;143;Mulheres;00 a 04
3545159;2021;179;Mulheres;00 a 04
3545209;2021;3.321;Mulheres;00 a 04
3545308;2021;1.477;Mulheres;00 a 04
3545407;2021;296;Mulheres;00 a 04
3545506;2021;146;Mulheres;00 a 04
3545605;2021;403;Mulheres;00 a 04
3545704;2021;114;Mulheres;00 a 04
3545803;2021;4.916;Mulheres;00 a 04
3546009;2021;390;Mulheres;00 a 04
3546108;2021;47;Mulheres;00 a 04
3546207;2021;103;Mulheres;00 a 04
3546256;2021;62;Mulheres;00 a 04
3546306;2021;1.074;Mulheres;00 a 04
3546405;2021;1.369;Mulheres;00 a 04
3546504;2021;154;Mulheres;00 a 04
3546603;2021;751;Mulheres;00 a 04
3546702;2021;871;Mulheres;00 a 04
3546801;2021;1.832;Mulheres;00 a 04
3546900;2021;290;Mulheres;00 a 04
3547007;2021;223;Mulheres;00 a 04
3547106;2021;77;Mulheres;00 a 04
3547205;2021;26;Mulheres;00 a 04
3547304;2021;4.820;Mulheres;00 a 04
3547403;2021;50;Mulheres;00 a 04
3547502;2021;650;Mulheres;00 a 04
3547601;2021;715;Mulheres;00 a 04
3547650;2021;30;Mulheres;00 a 04
3547700;2021;553;Mulheres;00 a 04
3547809;2021;19.327;Mulheres;00 a 04
3547908;2021;177;Mulheres;00 a 04
3548005;2021;685;Mulheres;00 a 04
3548054;2021;219;Mulheres;00 a 04
3548104;2021;143;Mulheres;00 a 04
3548203;2021;213;Mulheres;00 a 04
3548302;2021;80;Mulheres;00 a 04
3548401;2021;145;Mulheres;00 a 04
3548500;2021;11.506;Mulheres;00 a 04
3548609;2021;279;Mulheres;00 a 04
3548708;2021;24.020;Mulheres;00 a 04
3548807;2021;3.492;Mulheres;00 a 04
3548906;2021;6.424;Mulheres;00 a 04
3549003;2021;64;Mulheres;00 a 04
3549102;2021;2.157;Mulheres;00 a 04
3549201;2021;59;Mulheres;00 a 04
3549250;2021;48;Mulheres;00 a 04
3549300;2021;41;Mulheres;00 a 04
3549409;2021;1.446;Mulheres;00 a 04
3549508;2021;290;Mulheres;00 a 04
3549607;2021;123;Mulheres;00 a 04
3549706;2021;1.450;Mulheres;00 a 04
3549805;2021;11.599;Mulheres;00 a 04
3549904;2021;22.639;Mulheres;00 a 04
3549953;2021;513;Mulheres;00 a 04
3550001;2021;322;Mulheres;00 a 04
3550100;2021;1.167;Mulheres;00 a 04
3550209;2021;1.075;Mulheres;00 a 04
3550308;2021;369.924;Mulheres;00 a 04
3550407;2021;957;Mulheres;00 a 04
3550506;2021;237;Mulheres;00 a 04
3550605;2021;2.560;Mulheres;00 a 04
3550704;2021;3.058;Mulheres;00 a 04
3550803;2021;316;Mulheres;00 a 04
3550902;2021;418;Mulheres;00 a 04
3551009;2021;11.422;Mulheres;00 a 04
3551108;2021;335;Mulheres;00 a 04
3551207;2021;118;Mulheres;00 a 04
3551306;2021;73;Mulheres;00 a 04
3551405;2021;341;Mulheres;00 a 04
3551504;2021;1.520;Mulheres;00 a 04
3551603;2021;689;Mulheres;00 a 04
3551702;2021;3.673;Mulheres;00 a 04
3551801;2021;465;Mulheres;00 a 04
3551900;2021;523;Mulheres;00 a 04
3552007;2021;197;Mulheres;00 a 04
3552106;2021;1.015;Mulheres;00 a 04
3552205;2021;19.858;Mulheres;00 a 04
3552304;2021;235;Mulheres;00 a 04
3552403;2021;9.015;Mulheres;00 a 04
3552502;2021;10.097;Mulheres;00 a 04
3552551;2021;134;Mulheres;00 a 04
3552601;2021;302;Mulheres;00 a 04
3552700;2021;481;Mulheres;00 a 04
3552809;2021;10.610;Mulheres;00 a 04
3552908;2021;172;Mulheres;00 a 04
3553005;2021;501;Mulheres;00 a 04
3553104;2021;159;Mulheres;00 a 04
3553203;2021;121;Mulheres;00 a 04
3553302;2021;689;Mulheres;00 a 04
3553401;2021;626;Mulheres;00 a 04
3553500;2021;263;Mulheres;00 a 04
3553609;2021;333;Mulheres;00 a 04
3553658;2021;76;Mulheres;00 a 04
3553708;2021;1.514;Mulheres;00 a 04
3553807;2021;750;Mulheres;00 a 04
3553856;2021;217;Mulheres;00 a 04
3553906;2021;234;Mulheres;00 a 04
3553955;2021;498;Mulheres;00 a 04
3554003;2021;4.032;Mulheres;00 a 04
3554102;2021;9.185;Mulheres;00 a 04
3554201;2021;167;Mulheres;00 a 04
3554300;2021;698;Mulheres;00 a 04
3554409;2021;273;Mulheres;00 a 04
3554508;2021;1.237;Mulheres;00 a 04
3554607;2021;66;Mulheres;00 a 04
3554656;2021;64;Mulheres;00 a 04
3554706;2021;247;Mulheres;00 a 04
3554755;2021;53;Mulheres;00 a 04
3554805;2021;1.234;Mulheres;00 a 04
3554904;2021;136;Mulheres;00 a 04
3554953;2021;172;Mulheres;00 a 04
3555000;2021;1.507;Mulheres;00 a 04
3555109;2021;299;Mulheres;00 a 04
3555208;2021;37;Mulheres;00 a 04
3555307;2021;38;Mulheres;00 a 04
3555356;2021;202;Mulheres;00 a 04
3555406;2021;2.898;Mulheres;00 a 04
3555505;2021;145;Mulheres;00 a 04
3555604;2021;232;Mulheres;00 a 04
3555703;2021;56;Mulheres;00 a 04
3555802;2021;184;Mulheres;00 a 04
3555901;2021;30;Mulheres;00 a 04
3556008;2021;331;Mulheres;00 a 04
3556107;2021;367;Mulheres;00 a 04
3556206;2021;3.266;Mulheres;00 a 04
3556305;2021;681;Mulheres;00 a 04
3556354;2021;258;Mulheres;00 a 04
3556404;2021;1.273;Mulheres;00 a 04
3556453;2021;2.031;Mulheres;00 a 04
3556503;2021;3.976;Mulheres;00 a 04
3556602;2021;282;Mulheres;00 a 04
3556701;2021;2.258;Mulheres;00 a 04
3556800;2021;535;Mulheres;00 a 04
3556909;2021;230;Mulheres;00 a 04
3556958;2021;43;Mulheres;00 a 04
3557006;2021;3.879;Mulheres;00 a 04
3557105;2021;2.285;Mulheres;00 a 04
3557154;2021;64;Mulheres;00 a 04
3557204;2021;403;Mulheres;00 a 04
3557303;2021;324;Mulheres;00 a 04
