"﻿Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
Variável - Rendimento médio da produção (Quilogramas por Hectare),,,,,,,,,,,,,,,,,,,,,,
Cód.,Município,Ano x Produto das lavouras temporárias,,,,,,,,,,,,,,,,,,,,
Cód.,Município,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cód.,Município,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar,Cana-de-açúcar
3551108,Sarapuí (SP),-,-,-,-,-,-,-,-,-,-,86847,85000,70000,81000,71000,85000,85000,85000,-,-,-
3551207,Sarutaiá (SP),-,-,75157,80000,82000,79663,80000,80000,80000,80000,80000,81500,81500,90000,90000,90000,90000,90000,90000,90000,90000
3551306,Sebastianópolis do Sul (SP),60000,60000,80000,120000,80000,99363,123000,100000,100000,90000,90000,90000,70000,80000,60000,80000,80000,80000,70000,70000,70000
3551405,Serra Azul (SP),56000,70000,70000,70000,70000,69535,70000,74828,70000,74948,75000,75000,80000,81397,74100,72000,70000,79223,79223,79223,79223
3551504,Serrana (SP),80000,80000,80000,80000,80000,79475,80000,80000,83000,85000,85000,85000,80000,82000,74100,74000,80000,74000,74000,74000,74000
3551603,Serra Negra (SP),60000,60000,60000,60000,100000,99401,80000,100000,100000,100000,52000,85000,70000,70000,70000,80000,80000,80000,80000,80000,80000
3551702,Sertãozinho (SP),82000,74764,80000,80000,80000,82148,80000,78125,83000,80000,80000,79000,79000,79000,55300,79000,80000,85000,85000,85000,85000
3551801,Sete Barras (SP),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50000,-,-,40000,40000,40000
3551900,Severínia (SP),70000,70000,63653,94000,86000,94368,85000,85000,85000,80000,85000,75000,75000,85000,65000,73000,80000,80000,65000,70000,75000
3552007,Silveiras (SP),-,-,50000,50000,50000,62600,60000,-,62600,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
