Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;;;;;;;;;;;;;;;;;;;;;
Variável - Área plantada (Hectares);;;;;;;;;;;;;;;;;;;;;;
Cód.;Município;Ano x Produto das lavouras temporárias;;;;;;;;;;;;;;;;;;;;
Cód.;Município;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Cód.;Município;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar;Cana-de-açúcar
3505104;Barbosa (SP);910;1200;1942;3332;3332;1711;3932;4532;4322;4322;9809;10040;10339;12189;12289;3306;7511;5853;7750;13750;11300
3505203;Bariri (SP);8800;8800;8000;12000;12000;13124;13000;20000;22200;23800;23300;24500;23800;23800;23800;23800;20600;20600;20967;21500;21000
3505302;Barra Bonita (SP);9000;9000;9000;9000;9000;9449;8500;8500;8500;8500;9703;10060;10050;9983;9960;9998;9970;9970;9970;8406;8406
3505351;Barra do Chapéu (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10
3505401;Barra do Turvo (SP);-;-;-;-;-;-;-;-;-;2;2;2;-;-;-;-;-;-;5;3;3
3505500;Barretos (SP);16000;16000;16000;21967;25967;27365;37000;50890;60900;60900;64554;64550;64554;64600;65500;65500;65500;65500;67200;67200;67200
3505609;Barrinha (SP);12500;10000;10000;10500;10500;11024;10500;10500;10500;10500;10500;10500;10500;10500;10500;10500;10500;10500;10500;10500;10500
3505708;Barueri (SP);...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
3505807;Bastos (SP);300;300;111;184;149;278;184;184;1008;1008;2425;2425;2505;2675;2725;2500;2850;2850;2750;1850;1850
3505906;Batatais (SP);25500;29000;31000;31000;31000;36530;41000;44250;44000;44500;44500;44500;45200;45200;47774;45200;44700;45200;45200;45200;45200
3506003;Bauru (SP);338;140;75;80;297;403;297;430;430;540;430;896;896;896;419;1053;1053;1210;1450;1450;1473
3506102;Bebedouro (SP);18300;21500;21000;21000;22420;24000;26350;29300;29300;27300;29300;32350;31830;32200;35000;35000;35900;36700;39000;39000;38710
3506201;Bento de Abreu (SP);9353;13000;6070;12500;10000;11549;16000;15150;16150;16000;16000;16000;16000;9749;16000;17600;12505;13400;16500;15700;16800
3506300;Bernardino de Campos (SP);3000;4800;4800;5000;2300;2415;5000;6100;6500;6500;6500;6500;6500;4500;5000;5000;5000;5000;5000;5000;4500
3506359;Bertioga (SP);...;...;...;...;...;...;...;...;...;0;...;...;...;...;...;...;...;...;...;...;...
3506409;Bilac (SP);324;473;608;600;1076;973;1128;1128;2232;2666;3066;4078;4800;5267;4731;4713;4523;5200;5200;5357;3900
3506508;Birigui (SP);1100;1100;1368;1368;1462;1488;1633;1633;8633;8633;10789;13142;13000;9994;11440;8820;11707;11707;10214;10634;9300
3506607;Biritiba Mirim (SP);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
3506706;Boa Esperança do Sul (SP);18500;19000;19000;24000;25000;19280;21500;27500;30000;30000;700;30000;30000;31000;31000;31000;35000;35000;35000;35000;35000
3506805;Bocaina (SP);8050;12000;10000;10800;10800;11339;10800;10800;14748;16422;15100;15100;15100;15100;15100;18000;17100;17100;17100;16000;16000
3506904;Bofete (SP);-;-;-;-;-;-;-;-;150;150;150;150;-;150;140;140;140;90;90;160;160
3507001;Boituva (SP);5600;5800;4900;5600;6160;6467;6405;109;6467;7200;7200;7200;-;8000;7200;6500;6500;6500;6000;6000;6000
3507100;Bom Jesus dos Perdões (SP);-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;-;-;-;-;-;-
3507159;Bom Sucesso de Itararé (SP);-;-;-;-;-;-;-;-;-;-;8;8;-;-;-;-;-;-;-;-;-
3507209;Borá (SP);259;260;250;-;850;2761;4758;5134;4686;4235;4258;4400;4250;4168;4910;4910;5022;5000;5500;5039;5039
3507308;Boracéia (SP);6000;8000;5500;6500;7000;6824;7000;7000;7000;7460;7100;7100;7100;7100;7100;7100;7100;7300;7300;7300;7300
3507407;Borborema (SP);7000;7000;7000;7966;7966;11960;12518;14000;20084;20084;21000;27000;30422;30442;30600;30600;30600;30600;29340;29340;29340
